kingdom,phylum,ERZ794912,ERZ842397,ERZ794913,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794929,ERZ794930,ERZ794931
Archaea,Euryarchaeota,0,0,0,0,0,0,0,0,2,1,0,0
Bacteria,Acidobacteria,1,0,1,5,3,2,3,6,3,0,1,4
Bacteria,Actinobacteria,8,10,1,10,5,1,3,6,10,8,3,1
Bacteria,Armatimonadetes,0,0,1,3,0,0,0,0,0,0,3,0
Bacteria,Bacteroidetes,3,21,4,15,5,17,7,6,23,23,14,8
Bacteria,Chlamydiae,1,1,0,3,0,0,0,0,0,0,0,0
Bacteria,Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,8,10,5,14,20,5,5,13,3,1,10,9
Bacteria,Cyanobacteria,0,0,1,0,0,0,0,1,0,0,1,0
Bacteria,Firmicutes,1,2,1,3,4,0,2,1,4,6,0,0
Bacteria,Fusobacteria,0,0,0,0,0,0,0,0,1,1,0,0
Bacteria,Gemmatimonadetes,0,0,1,0,1,1,1,1,0,0,1,0
Bacteria,Ignavibacteriae,3,3,0,2,3,0,1,1,0,0,0,3
Bacteria,Kiritimatiellaeota,0,0,1,0,0,0,0,0,0,0,2,0
Bacteria,Nitrospirae,0,0,0,2,1,0,0,0,0,0,1,0
Bacteria,Planctomycetes,1,3,7,6,1,4,2,2,0,0,15,12
Bacteria,Proteobacteria,24,27,18,22,34,15,33,27,42,24,26,21
Bacteria,Spirochaetes,0,0,0,0,1,0,0,0,0,0,0,1
Bacteria,Verrucomicrobia,0,5,1,1,0,1,1,0,4,3,2,2
Eukaryota,Cryptomycota,0,1,2,0,0,1,0,0,0,0,2,0
Eukaryota,Euglenida,0,2,0,0,0,0,0,0,0,0,0,0
Eukaryota,Nematoda,0,0,0,2,0,0,0,0,0,0,0,0
Eukaryota,Rotifera,0,0,2,1,0,5,0,0,0,0,2,2
Eukaryota,Streptophyta,0,0,0,0,0,0,0,0,0,0,0,0
